49,41,12,14,18,25,16,15,0
53,39,13,13,19,27,16,14,0
59,42,12,13,17,25,15,13,0
58,32,13,14,15,29,18,14,0
55,29,13,14,16,28,16,13,0
58,30,15,16,14,24,14,14,0
55,33,14,16,14,22,14,15,0
49,31,15,17,13,22,15,15,0
44,33,14,18,14,16,14,13,0
43,39,15,17,14,16,14,15,0
39,39,14,15,16,19,16,13,0
42,36,15,15,16,17,16,11,0
36,35,15,15,15,17,16,12,0
37,45,15,12,14,15,16,13,0
42,41,15,14,15,18,16,13,0
47,40,15,17,14,18,15,13,0
52,44,15,18,13,20,15,15,0
52,43,14,18,13,20,16,13,0
50,33,14,19,13,21,14,12,0
43,34,14,18,13,23,15,12,0
42,37,12,16,12,26,16,13,0
36,32,12,16,13,26,16,13,0
38,34,12,15,13,26,17,16,0
43,31,13,14,13,27,16,15,0
47,34,13,15,13,23,16,15,0
60,43,14,13,13,16,15,17,0
59,45,14,14,13,20,15,17,0
59,44,15,14,14,20,14,15,0
57,43,15,16,13,20,15,15,0
55,38,13,16,14,21,13,15,0
46,31,15,15,15,27,13,13,0
51,31,17,13,14,23,15,13,0
49,31,17,15,15,24,14,13,0
49,31,17,14,15,23,14,13,0
56,33,17,16,14,23,13,13,0
54,32,16,17,15,17,14,13,0
45,30,14,17,17,18,12,15,0
47,30,11,15,15,17,12,14,0
47,31,13,14,16,24,12,14,0
40,36,14,15,16,24,13,16,0
42,33,15,14,16,23,13,15,0
43,42,14,15,14,22,13,14,0
43,42,14,15,15,25,14,15,0
42,45,15,15,15,20,15,17,0
54,42,13,15,15,19,13,16,0
54,45,13,16,13,26,13,16,0
56,41,15,15,15,25,13,15,0
57,41,16,15,14,28,15,17,0
59,47,16,16,17,30,16,19,0
46,44,16,15,17,31,17,17,0
45,46,17,15,16,26,16,17,0
40,42,16,16,15,26,17,18,0
38,43,15,16,14,20,14,16,0
32,40,11,16,13,24,13,12,0
36,42,14,16,13,25,15,14,0
36,39,12,15,14,24,15,14,0
37,40,12,15,14,24,16,16,0
38,40,13,15,15,30,17,16,0
39,32,15,15,12,25,17,17,0
37,36,13,15,12,27,15,17,0
36,33,14,15,14,32,15,17,0
38,30,14,17,15,33,15,15,0
44,31,14,16,14,29,15,15,0
44,34,13,17,14,29,15,14,0
44,34,12,16,14,28,15,14,0
44,41,13,16,13,24,15,15,0
48,44,13,13,16,30,14,17,0
41,43,13,13,17,28,14,16,0
43,40,13,13,17,28,13,16,0
41,35,15,14,16,28,13,16,0
46,35,16,14,15,26,12,16,0
43,40,15,17,13,20,12,14,0
45,45,17,18,16,49,14,15,0
40,45,17,16,16,51,14,16,0
50,49,17,16,17,51,14,15,0
49,43,15,17,18,51,14,14,0
47,38,15,15,16,52,15,14,0
49,44,15,15,14,28,13,15,0
62,44,14,15,13,25,14,12,0
58,41,13,16,15,30,13,12,0
57,47,16,15,14,30,12,13,0
57,47,17,16,14,29,12,13,0
58,39,16,16,14,29,11,12,0
50,38,17,17,15,30,10,12,0
47,42,18,17,14,25,13,14,0
45,43,16,17,16,29,14,15,0
49,41,15,18,16,30,14,16,0
52,44,14,16,17,29,14,16,0
52,54,16,16,17,28,14,16,0
50,51,14,17,16,26,12,16,0
50,46,14,17,15,28,12,14,0
47,46,15,17,18,29,11,14,0
41,50,15,15,17,27,11,14,0
41,42,11,15,16,27,11,14,0
44,43,12,14,16,29,13,12,0
43,42,12,13,17,22,13,14,0
54,42,11,15,15,21,14,12,0
58,39,14,15,16,30,16,13,0
57,41,13,14,16,30,17,13,0
56,40,14,14,16,29,16,13,0
54,41,14,15,16,29,18,12,0
48,46,16,15,18,36,18,12,0
45,42,14,16,18,30,16,12,0
41,39,16,18,18,31,16,12,0
40,39,15,18,17,30,15,12,0
65,41,15,17,18,40,13,13,0
64,33,14,15,16,33,14,14,0
63,35,15,14,14,32,14,15,0
63,33,13,13,15,35,14,15,0
62,33,15,14,15,35,14,15,0
52,40,14,13,13,25,14,13,0
48,42,14,14,15,26,13,14,0
48,39,12,13,15,29,13,11,0
52,43,13,11,15,29,13,13,0
60,48,13,10,16,29,13,15,0
49,43,13,12,18,28,13,15,0
47,42,13,14,16,31,15,16,0
50,44,14,15,17,28,14,17,0
58,42,16,15,16,25,13,17,0
51,37,15,17,16,25,13,16,0
50,35,15,17,13,26,13,16,0
50,39,15,15,13,21,12,16,0
49,38,15,15,13,19,13,16,0
41,41,12,15,13,18,13,15,0
45,45,13,14,13,18,14,14,0
44,43,14,15,16,20,15,14,0
47,43,14,16,17,20,15,15,0
47,46,14,16,16,19,15,15,0
44,42,16,16,16,19,15,15,0
38,36,15,18,17,17,13,15,0
42,45,14,16,13,14,12,17,0
40,40,14,16,14,13,12,14,0
35,37,13,17,14,14,13,13,0
32,36,11,17,16,13,12,18,0
38,37,11,13,17,13,13,18,0
37,26,11,15,16,18,13,17,0
41,30,11,15,18,20,14,18,0
41,37,11,14,18,20,12,18,0
43,38,13,14,17,20,12,14,0
39,37,13,16,16,20,12,13,0
40,43,14,18,16,16,12,14,0
37,45,16,16,13,23,12,15,0
37,45,16,16,12,23,15,15,0
43,44,15,17,14,24,15,15,0
48,45,14,16,14,25,15,16,0
56,42,14,15,14,24,15,15,0
58,44,11,16,13,16,16,14,0
64,41,12,16,13,15,13,13,0
64,43,13,15,12,18,14,12,0
59,43,13,16,12,17,13,11,0
53,40,12,15,13,18,15,10,0
57,46,14,16,12,19,14,14,0
51,47,16,16,14,22,14,14,0
43,46,17,16,14,21,13,15,0
44,50,17,15,15,23,15,18,0
44,53,17,16,14,22,14,18,0
37,42,16,15,14,22,15,16,0
35,38,15,15,14,20,14,15,0
38,38,15,16,15,20,15,17,0
43,43,14,15,14,18,13,14,0
48,40,14,16,15,19,12,15,0
47,43,14,15,15,18,15,16,0
52,46,13,15,15,24,16,15,0
53,49,13,15,13,25,16,13,0
53,41,13,17,13,25,16,16,0
45,40,13,15,12,26,17,15,0
